trade,entry_ts,equity_before,pnl_usd,equity_after
5769,1644272280.0,1960980868913.78,-14137143272.0,1946843725641.77
5770,1644282720.0,1946843725641.77,126412940791.67,2073256666433.44
5771,1644329700.0,2073256666433.44,-39434140865.12,2033822525568.33
5772,1644339960.0,2033822525568.33,-29711910607.63,2004110614960.7
5773,1644341220.0,2004110614960.7,-13805269984.22,1990305344976.48
5774,1644343020.0,1990305344976.48,-901103705.16,1989404241271.32
5775,1644346260.0,1989404241271.32,65482396052.74,2054886637324.06
5776,1644353820.0,2054886637324.06,-15181234233.37,2039705403090.68
5777,1644357960.0,2039705403090.68,14235293168.64,2053940696259.33
5778,1644369480.0,2053940696259.33,44072596385.91,2098013292645.23
5779,1644374520.0,2098013292645.23,15875719389.17,2113889012034.4
5780,1644396120.0,2113889012034.4,-33100349514.53,2080788662519.87
5781,1644396840.0,2080788662519.87,-7431607464.62,2073357055055.25
5782,1644400260.0,2073357055055.25,-13628807988.9,2059728247066.34
5783,1644504120.0,2059728247066.34,-30916121264.14,2028812125802.21
5784,1644505200.0,2028812125802.21,858364910.22,2029670490712.42
5785,1644515100.0,2029670490712.42,53535645991.46,2083206136703.88
5786,1644516180.0,2083206136703.88,61715845660.17,2144921982364.06
5787,1644516540.0,2144921982364.06,203095407238.82,2348017389602.88
5788,1644531480.0,2348017389602.88,-14399312907.0,2333618076695.87
5789,1644532020.0,2333618076695.87,5094896700.33,2338712973396.2
5790,1644547320.0,2338712973396.2,-15343808450.74,2323369164945.45
5791,1644547860.0,2323369164945.45,-15805399140.96,2307563765804.5
5792,1644549660.0,2307563765804.5,-15652245930.89,2291911519873.61
5793,1644594300.0,2291911519873.61,-14554063166.61,2277357456707.0
5794,1644610860.0,2277357456707.0,42851583627.68,2320209040334.67
5795,1644616440.0,2320209040334.67,-14102708873.71,2306106331460.96
5796,1644620940.0,2306106331460.96,-13995073958.47,2292111257502.49
5797,1644620940.0,2292111257502.49,-13476044307.96,2278635213194.53
5798,1644621480.0,2278635213194.53,284410913.0,2278919624107.53
5799,1644621480.0,2278919624107.53,1819989413.58,2280739613521.11
5800,1644623280.0,2280739613521.11,33916140853.05,2314655754374.16
5801,1644624000.0,2314655754374.16,27302158715.28,2341957913089.44
5802,1644626160.0,2341957913089.44,-16613676282.23,2325344236807.21
5803,1644629760.0,2325344236807.21,-31782992700.36,2293561244106.85
5804,1644630660.0,2293561244106.85,1119180258.81,2294680424365.65
5805,1644638580.0,2294680424365.65,-13561244252.99,2281119180112.66
